question_id,category,difficulty,question_text,keywords,reference_answer,language
207,Reasoning,medium,"A soldier faces north. He turns 90 degrees clockwise, then 180 degrees anticlockwise, then 45 degrees clockwise. Which direction does he face?",direction|rotation|north|clockwise|northwest|compass,Starting North → 90° clockwise = East → 180° anticlockwise = West → 45° clockwise = Northwest. He faces Northwest.,en
208,English,easy,What is the meaning of the word 'valiant'?,valiant|brave|courageous|bold|heroic|meaning,"Valiant means showing courage, bravery, or determination in the face of danger. Synonyms include brave, courageous, heroic, bold, and fearless. Example: The valiant soldier defended his post against overwhelming odds.",en
209,Mathematics,medium,A rectangular army camp is 200m long and 150m wide. Find its perimeter and area.,perimeter|area|rectangle|200|150|700|30000,"Perimeter = 2(length + width) = 2(200 + 150) = 2 × 350 = 700 metres. Area = length × width = 200 × 150 = 30,000 square metres.",en
210,General Knowledge,medium,What is the significance of the Simla Agreement of 1972?,simla|agreement|1972|bhutto|indira|loc|bilateral,"The Simla Agreement signed between Indira Gandhi and Zulfikar Ali Bhutto after the 1971 war established that India-Pakistan disputes would be resolved bilaterally, not through third-party mediation. It also converted the ceasefire line in Kashmir into the Line of Control (LoC).",en
211,Defence Knowledge,medium,What is the Border Roads Organisation (BRO) and its strategic role?,bro|border roads|infrastructure|roads|bridges|tunnels|strategic,"BRO develops and maintains road networks along India's borders. It has built critical infrastructure including the Atal Tunnel (Rohtang), Zoji La tunnel, and strategic roads in Ladakh, Arunachal Pradesh, and Sikkim, enabling rapid military deployment and supporting border communities.",en
212,DRDO,medium,What is the Advanced Medium Combat Aircraft (AMCA) project?,amca|stealth|fifth generation|fighter|indigenous|drdo|ada,"AMCA is India's ambitious fifth-generation stealth fighter aircraft program, being developed by DRDO's Aeronautical Development Agency. It will feature stealth characteristics, internal weapons bay, supercruise capability, and advanced sensors, aiming to make India one of the few nations with indigenous 5th-gen fighter technology.",en
213,Current Affairs,easy,What is UPI and how has it changed digital payments in India?,upi|digital|payment|india|bhim|phonepe|banking,"UPI (Unified Payments Interface) enables instant real-time bank transfers via mobile phones. It has revolutionized digital payments in India with billions of monthly transactions, reduced cash dependency, and has been adopted or considered by several countries.",en
214,Personality Test,medium,How do you stay physically fit? Describe your fitness routine.,fitness|exercise|running|physical|training|health|routine,"Good answers demonstrate commitment to physical fitness relevant to military service: regular exercise routine, specific activities (running, swimming, sports, gym), consistency, measurable goals, and understanding of how fitness supports mental toughness and operational readiness.",en
215,Science,medium,What is fiber optics and how is it used in defence communications?,fiber optic|light|communication|bandwidth|secure|cable,"Fiber optics transmit data as light pulses through glass or plastic fibers. In defence, they provide: high-bandwidth secure communications resistant to electromagnetic interference and interception, submarine communication cables, and tactical field communication systems.",en
216,Geography,easy,Which is the largest desert in the world?,sahara|desert|africa|largest|9 million,"The Sahara Desert in North Africa is the world's largest hot desert, spanning approximately 9.2 million square kilometres across 11 countries.",en
217,Reasoning,easy,"Complete: 1, 4, 9, 16, 25, ?",squares|pattern|36|perfect square|sequence,"36. The pattern shows perfect squares: 1²=1, 2²=4, 3²=9, 4²=16, 5²=25, 6²=36.",en
218,English,medium,"Rewrite in reported speech: The General said to the troops, 'You must be ready by dawn.'",reported|indirect|speech|general|troops|dawn,The General told the troops that they must be ready by dawn. (Or: The General ordered the troops to be ready by dawn.),en
219,Mathematics,easy,What is the LCM of 6 and 8?,lcm|least common multiple|6|8|24,"LCM of 6 and 8: Multiples of 6: 6,12,18,24... Multiples of 8: 8,16,24... LCM = 24.",en
220,Defence Knowledge,medium,What is the Integrated Guided Missile Development Programme (IGMDP)?,igmdp|missile|apj kalam|prithvi|agni|trishul|akash|nag,"IGMDP, led by Dr. APJ Abdul Kalam, was launched in 1983 to develop five indigenous missile systems: Prithvi (surface-to-surface), Agni (ballistic), Trishul (short-range SAM), Akash (medium-range SAM), and Nag (anti-tank). It established India's self-reliance in missile technology.",en
221,DRDO,hard,Explain DRDO's development of the K-4 submarine-launched ballistic missile.,k4|slbm|submarine|ballistic|arihant|underwater|nuclear,"The K-4 is a submarine-launched ballistic missile with 3500 km range developed by DRDO for the Arihant-class nuclear submarines. It can carry nuclear warheads and is launched from underwater, forming a crucial component of India's second-strike nuclear capability.",en
222,General Knowledge,easy,What is the Preamble of the Indian Constitution?,preamble|constitution|sovereign|socialist|secular|democratic|republic,"The Preamble declares India as a Sovereign, Socialist, Secular, Democratic Republic, promising justice, liberty, equality, and fraternity to all citizens. It reflects the fundamental values and guiding philosophy of the Constitution.",en
223,Current Affairs,medium,What is the National Education Policy (NEP) 2020?,nep|education|policy|2020|5+3+3+4|multidisciplinary,"NEP 2020 restructures education with 5+3+3+4 schooling pattern, promotes multidisciplinary education, emphasizes mother tongue/regional language instruction, allows multi-entry/exit in higher education, establishes National Research Foundation, and aims to achieve 100% GER in higher education by 2035.",en
224,Personality Test,hard,"If selected, how would you handle being posted far from your family for extended periods?",posting|family|separation|duty|emotional|resilience|cope,"Mature answers acknowledge the emotional challenge while demonstrating resilience: maintaining regular communication, trusting family to manage independently, staying focused on duty, building bonds with unit members, finding purpose in service, and understanding that sacrifice is inherent to military life.",en
225,Defence Knowledge,easy,Name the current operational aircraft carriers of the Indian Navy.,vikrant|vikramaditya|aircraft carrier|navy|operational,"The Indian Navy operates two aircraft carriers: INS Vikramaditya (modified Kiev-class from Russia) and INS Vikrant (India's first indigenous aircraft carrier, commissioned in 2022).",en
226,DRDO,medium,What is the Nirbhay cruise missile?,nirbhay|cruise|subsonic|long range|terrain|stealth|drdo,"Nirbhay is India's first indigenous long-range subsonic cruise missile developed by DRDO with a range of 800-1000 km. It features terrain-hugging flight capability, stealth characteristics, waypoint navigation, and can carry conventional and nuclear warheads, providing India with a strategic stand-off weapon.",en
227,Science,hard,Explain the concept of electronic countermeasures (ECM) in modern warfare.,ecm|electronic|countermeasure|jamming|chaff|decoy|radar,"ECM are electronic techniques to neutralize enemy sensors. Types include: jamming (overpowering enemy radar with noise), chaff (metallic strips creating false radar returns), flares (infrared decoys against heat-seeking missiles), deceptive jamming (creating false targets), and DRFM (digital radio frequency memory) for advanced radar spoofing.",en
228,Geography,medium,What are the Eastern and Western Ghats?,eastern ghats|western ghats|mountain|coast|peninsular|india,"The Western Ghats run 1600 km along India's western coast (Gujarat to Kerala), taller and less broken. The Eastern Ghats run along the eastern coast (Odisha to Tamil Nadu), lower and discontinuous, broken by major rivers. The Western Ghats are a UNESCO biodiversity hotspot.",en
229,Reasoning,medium,"If a platoon of 30 soldiers needs 15 days of rations, and 10 more soldiers join, how long will the rations last?",rations|soldiers|proportion|inverse|days|11.25,Total rations = 30 × 15 = 450 soldier-days. With 40 soldiers: 450 ÷ 40 = 11.25 days. The rations will last approximately 11 days and 6 hours.,en
230,English,hard,Write a short paragraph defending the statement: Discipline is the backbone of the Armed Forces.,discipline|backbone|army|order|training|obedience|cohesion,"A strong paragraph argues that discipline enables: following orders under fire, maintaining formation in chaos, building unit cohesion, ensuring weapon and equipment maintenance, upholding ethical standards, enabling complex operations requiring precise coordination, and creating the trust between soldiers that is essential for combat effectiveness.",en
231,Mathematics,hard,"A submarine dives at an angle of 30 degrees to the surface. After traveling 200 metres along its path, how deep is it?",submarine|depth|angle|trigonometry|sin|100,Depth = distance × sin(angle) = 200 × sin(30°) = 200 × 0.5 = 100 metres.,en
232,General Knowledge,medium,What was the Non-Aligned Movement and India's role in it?,nam|non aligned|nehru|cold war|neutral|third world,"The Non-Aligned Movement was founded by leaders including Jawaharlal Nehru during the Cold War, allowing developing nations to avoid alignment with either the US or Soviet bloc. India was a founding member and key leader, advocating for sovereignty, anti-colonialism, and peaceful coexistence.",en
233,DRDO,hard,Discuss the challenges and achievements of India's Light Combat Helicopter (LCH) Prachand.,lch|prachand|helicopter|attack|hal|drdo|combat,"LCH Prachand is the world's lightest attack helicopter, developed by HAL with DRDO systems. Designed for high-altitude operations (unique capability), it can operate at 5000m altitude with weapons. Challenges included engine limitations at altitude, extended development timeline, and integration of indigenous weapons systems.",en
234,Defence Knowledge,hard,Analyze the significance of the Rafale deal for India's air combat capability.,rafale|meteor|scalp|omnirole|air superiority|strategic,"The 36 Rafale jets significantly enhance IAF capabilities: Meteor BVR missile (longest-range air-to-air), SCALP cruise missile (deep strike), advanced AESA radar, electronic warfare suite, nuclear delivery capability, and aerial refueling. They address the critical shortfall in modern fighter aircraft inventory.",en
235,Personality Test,hard,You are the only officer left after a surprise attack on your unit. How do you take charge?,command|crisis|leadership|attack|organize|casualties|communication,"Strong answers demonstrate crisis leadership: assess casualties and threats, secure the perimeter, establish communication with higher command, organize remaining troops by capability, provide first aid, assign defensive positions, maintain morale and calm, and make tactical decisions based on available information.",en
236,Current Affairs,hard,Discuss the impact of artificial intelligence on future warfare.,ai|artificial intelligence|warfare|autonomous|drone|decision|cyber,"AI transforms warfare through: autonomous weapons systems, AI-powered surveillance and target recognition, predictive analytics for threat assessment, cyber warfare automation, logistics optimization, swarm drone technology, and enhanced decision-making speed. Ethical concerns include autonomous lethal decisions and AI arms race dynamics.",en
237,Science,medium,What is the principle of jet propulsion?,jet|propulsion|newton|action|reaction|thrust|engine,"Jet propulsion works on Newton's Third Law: burning fuel creates high-pressure exhaust gases that exit the engine at high velocity backward, creating an equal and opposite forward thrust force. This principle powers jet aircraft, rockets, and missiles.",en
238,Geography,hard,Discuss the strategic importance of the Andaman Sea for India.,andaman sea|malacca|strategic|naval|china|maritime|surveillance,"The Andaman Sea provides India proximity to the Malacca Strait, through which 25% of global trade passes. India's Andaman & Nicobar Command enables maritime domain awareness, anti-piracy operations, monitoring Chinese naval movements, and projecting power across the eastern Indian Ocean.",en
239,Reasoning,hard,A message is encrypted by shifting each letter forward by the position number of that letter in the word. Decrypt: CIGBQ from a 5-letter word.,cipher|decrypt|variable shift|position|blend,"Position shifts: 1st letter back 1, 2nd back 2, 3rd back 3, 4th back 4, 5th back 5. C-1=B, I-2=G, G-3=D, B-4=X, Q-5=L → The answer requires working backwards from the cipher.",en
240,Defence Knowledge,medium,What is the significance of Exercise Malabar?,malabar|naval exercise|quad|usa|japan|australia|interoperability,"Exercise Malabar is a multilateral naval exercise involving India, USA, Japan, and Australia (Quad nations). It enhances maritime interoperability, practices anti-submarine warfare, and demonstrates collective commitment to a free and open Indo-Pacific. It has evolved from bilateral India-US exercise to a key Quad military cooperation platform.",en
241,General Knowledge,easy,भारत की राजधानी क्या है?,delhi|capital|new delhi|राजधानी,भारत की राजधानी नई दिल्ली है। यह 1911 में कलकत्ता से स्थानांतरित की गई थी।,hi
242,General Knowledge,easy,भारत का राष्ट्रीय पशु कौन सा है?,tiger|बाघ|national animal|bengal,भारत का राष्ट्रीय पशु बंगाल टाइगर (रॉयल बंगाल टाइगर) है। इसे 1973 में प्रोजेक्ट टाइगर के तहत संरक्षित किया गया।,hi
243,General Knowledge,medium,भारतीय संविधान में कितनी अनुसूचियाँ हैं?,schedules|12|अनुसूची|constitution,"भारतीय संविधान में 12 अनुसूचियाँ हैं जो विभिन्न विषयों जैसे राज्यों की सूची, शपथ के प्रारूप, भाषाओं आदि का विवरण देती हैं।",hi
244,General Knowledge,hard,भारत के प्रथम प्रधानमंत्री कौन थे और उनकी विदेश नीति क्या थी?,nehru|नेहरू|panchsheel|non aligned|गुटनिरपेक्ष,जवाहरलाल नेहरू भारत के प्रथम प्रधानमंत्री थे। उनकी विदेश नीति पंचशील सिद्धांत और गुटनिरपेक्षता पर आधारित थी।,hi
245,Defence Knowledge,easy,भारतीय सेना दिवस कब मनाया जाता है?,army day|15 january|सेना दिवस|cariappa,भारतीय सेना दिवस 15 जनवरी को मनाया जाता है। इस दिन 1949 में जनरल केएम करियप्पा ने पहले भारतीय सेना प्रमुख का पदभार संभाला था।,hi
246,Defence Knowledge,medium,परमवीर चक्र क्या है और यह किसे दिया जाता है?,param vir chakra|gallantry|bravery|wartime|परमवीर,परमवीर चक्र भारत का सर्वोच्च सैन्य वीरता पुरस्कार है। यह युद्ध में असाधारण बहादुरी के लिए दिया जाता है। अब तक 21 सैनिकों को यह सम्मान मिला है।,hi
247,Geography,easy,भारत में कुल कितने राज्य हैं?,28|states|राज्य|union territory|8,भारत में 28 राज्य और 8 केंद्र शासित प्रदेश हैं (2019 के पुनर्गठन के बाद)।,hi
248,Geography,medium,गंगा नदी का उद्गम स्थल कहाँ है?,gangotri|गंगोत्री|glacier|gaumukh|उत्तराखंड,"गंगा नदी उत्तराखंड में गंगोत्री ग्लेशियर के गोमुख से निकलती है, जो समुद्र तल से लगभग 3,892 मीटर की ऊँचाई पर है।",hi
249,Science,easy,प्रकाश संश्लेषण क्या है?,photosynthesis|प्रकाश|chlorophyll|oxygen|glucose,"प्रकाश संश्लेषण वह प्रक्रिया है जिसमें पौधे सूर्य के प्रकाश, कार्बन डाइऑक्साइड और पानी का उपयोग करके ग्लूकोज और ऑक्सीजन बनाते हैं।",hi
250,Science,medium,ध्वनि की गति कितनी होती है?,speed of sound|343|ध्वनि|air|medium,वायु में ध्वनि की गति लगभग 343 मीटर प्रति सेकंड (20°C पर) होती है। यह माध्यम के तापमान और घनत्व पर निर्भर करती है।,hi
251,Mathematics,easy,एक वर्ग का परिमाप 40 सेमी है। उसकी भुजा कितनी होगी?,perimeter|square|40|10|side,वर्ग का परिमाप = 4 × भुजा। 40 = 4 × भुजा। भुजा = 10 सेमी।,hi
252,Reasoning,easy,"श्रृंखला पूरी करें: 5, 10, 20, 40, ?",series|double|80|pattern|गुणा,"प्रत्येक संख्या पिछली संख्या का दोगुना है: 5×2=10, 10×2=20, 20×2=40, 40×2=80। उत्तर: 80।",hi
253,Personality Test,easy,आप सेना में क्यों जाना चाहते हैं?,army|motivation|देश सेवा|duty|patriotism,"एक अच्छा उत्तर देश सेवा की भावना, अनुशासन का महत्व, परिवार की सैन्य परंपरा, और राष्ट्र रक्षा के प्रति समर्पण को दर्शाता है।",hi
254,English,easy,What is the meaning of the word 'resilience'?,resilience|recover|bounce back|tough|adaptability,"Resilience means the ability to recover quickly from difficulties or setbacks. It implies toughness, adaptability, and mental strength to withstand challenges.",en
255,General Knowledge,medium,What is the Right to Information (RTI) Act and its significance?,rti|2005|transparency|government|accountability|information,"The RTI Act 2005 empowers citizens to request information from public authorities, promoting transparency and accountability in governance. It has become a powerful tool against corruption.",en
256,General Knowledge,hard,Explain the Inter-Services Organizations Act 2023.,inter services|theatre|command|act|jointness|2023,"The Inter-Services Organizations Act 2023 empowers the Commander of theatre or inter-services commands to exercise control over personnel of all three services, enabling true jointness in military operations.",en
257,Defence Knowledge,medium,What is Exercise Kavach and its purpose?,kavach|exercise|andaman|joint|tri service,"Exercise Kavach is a large-scale joint tri-service exercise conducted in the Andaman Sea and Bay of Bengal to validate operational readiness and interoperability among the Army, Navy, and Air Force.",en
258,Defence Knowledge,hard,What is the Defence Planning Committee and its role?,dpc|planning|nsa|defence|strategy|procurement,"The Defence Planning Committee, chaired by the NSA, prepares national security strategy, international defence engagement strategy, capability development plans, and prioritizes defence procurement for India's armed forces.",en
259,Current Affairs,medium,What is the PM Gati Shakti National Master Plan?,gati shakti|infrastructure|multimodal|connectivity|logistics,"PM Gati Shakti is a digital platform integrating 16 ministries to plan and coordinate infrastructure projects like roads, railways, airports, and ports. It aims to reduce logistics costs and boost economic growth.",en
260,Current Affairs,hard,Discuss India's semiconductor manufacturing ambitions.,semiconductor|chip|fab|manufacturing|atmanirbhar|electronics,"India aims to establish semiconductor fabs through the India Semiconductor Mission with $10B+ investment. Companies like Micron and Tata are setting up plants. This is critical for defence electronics, AI hardware, and reducing dependence on Taiwan/China.",en
261,Science,hard,What is quantum computing and its potential defence applications?,quantum|computing|qubit|encryption|defence|superposition,"Quantum computing uses qubits in superposition to process exponentially more data than classical computers. Defence applications include breaking enemy encryption, optimizing logistics, simulating complex weapons systems, and developing unbreakable quantum communication networks.",en
262,Science,medium,What is the Coriolis effect and how does it impact weather?,coriolis|rotation|earth|wind|deflection|weather,"The Coriolis effect deflects moving objects (including wind and ocean currents) due to Earth's rotation — rightward in the Northern Hemisphere and leftward in the Southern. It influences cyclone rotation, trade winds, and ocean circulation patterns.",en
263,Geography,hard,Discuss the strategic importance of the Suez Canal for India.,suez|canal|egypt|trade|europe|shipping|route,"The Suez Canal connects the Mediterranean to the Red Sea, shortening the Europe-Asia shipping route by 7,000+ km. About 12% of global trade passes through it. For India, it is the primary route for trade with Europe and the eastern Mediterranean.",en
264,Geography,medium,What is the significance of the Karakoram Pass?,karakoram|pass|ladakh|china|5540m|aksai chin,"The Karakoram Pass at 5,540m connects Ladakh with Xinjiang (China). It is one of the highest passes in the world and holds strategic significance near the disputed Aksai Chin region.",en
265,Mathematics,medium,"A patrol of 8 soldiers shares 96 bullets equally. If 4 more soldiers join, how many bullets does each get?",division|proportion|96|12|8|bullets,With 8 soldiers: 96 ÷ 8 = 12 bullets each. With 12 soldiers: 96 ÷ 12 = 8 bullets each.,en
266,Mathematics,hard,Find the sum of all integers from 1 to 100.,sum|arithmetic|gauss|5050|formula|series,Sum = n(n+1)/2 = 100 × 101 / 2 = 5050. This formula was famously demonstrated by Carl Friedrich Gauss.,en
267,Reasoning,medium,"If DEFENCE is coded as 4-5-6-5-14-3-5, what system is used?",code|alphabet|position|number|a=1,"Each letter is replaced by its position in the alphabet: D=4, E=5, F=6, E=5, N=14, C=3, E=5.",en
268,Reasoning,hard,"A watch gains 5 minutes every hour. If set correctly at 12 noon, what time will it show when the actual time is 6 PM?",watch|gain|time|6:30|fast|clock,"In 6 hours, the watch gains 6 × 5 = 30 minutes. So when the actual time is 6:00 PM, the watch shows 6:30 PM.",en
269,English,medium,What is the difference between 'stationary' and 'stationery'?,stationary|stationery|still|paper|homophone,"Stationary (with 'a') means not moving or still. Stationery (with 'e') refers to writing materials like paper, pens, and envelopes. They are homophones with different meanings.",en
270,English,hard,Correct the error: Neither the officer nor the soldiers was ready for the inspection.,neither nor|plural|were|agreement|verb,"Corrected: Neither the officer nor the soldiers were ready. With 'neither...nor', the verb agrees with the nearer subject — 'soldiers' is plural, so 'were' is correct.",en
271,Personality Test,medium,अगर आपके साथी परीक्षा में नकल कर रहे हैं तो आप क्या करेंगे?,cheating|ethics|integrity|नकल|honesty,"एक परिपक्व उत्तर: पहले साथी को समझाएंगे कि नकल गलत है। अगर वे नहीं मानते तो परीक्षक को सूचित करेंगे, क्योंकि ईमानदारी और अखंडता सेना के मूल मूल्य हैं।",hi
272,Personality Test,hard,आपको एक ऐसे क्षेत्र में तैनात किया गया जहाँ स्थानीय लोग सेना के प्रति शत्रुतापूर्ण हैं। आप क्या करेंगे?,hostile|local|hearts minds|trust|community|civil,"मजबूत उत्तर: स्थानीय नेताओं से संवाद, सामुदायिक सहायता कार्यक्रम, चिकित्सा शिविर, विश्वास निर्माण, और संयम बनाए रखना। दिल जीतने की रणनीति सैन्य बल से अधिक प्रभावी है।",hi
273,General Knowledge,easy,What is the national flower of India?,lotus|national flower|nelumbo|sacred,"The Lotus (Nelumbo nucifera) is the national flower of India. It symbolizes purity, beauty, and spiritual significance in Indian culture.",en
274,General Knowledge,medium,Explain the concept of Emergency in the Indian Constitution.,emergency|article 352|356|360|president|national,"The Constitution provides for three types of Emergency: National Emergency (Art 352 — war/external aggression), State Emergency/President's Rule (Art 356 — constitutional machinery failure), Financial Emergency (Art 360). During emergency, fundamental rights can be suspended.",en
275,Defence Knowledge,easy,What is the BSF and what is its role?,bsf|border security force|border|guarding|pakistan|bangladesh,"BSF (Border Security Force) is India's primary border guarding force, responsible for securing India's borders with Pakistan and Bangladesh. It also handles anti-infiltration, anti-smuggling, and counter-insurgency operations.",en
276,Defence Knowledge,medium,What are the Special Forces of India?,para sf|marcos|garud|special forces|commando|nsg,"India's Special Forces include: Para SF (Army), MARCOS (Navy), Garud (Air Force), NSG (counter-terrorism), and COBRA (CRPF anti-Naxal). They are trained for unconventional warfare, hostage rescue, and surgical strikes.",en
277,Current Affairs,easy,What is Aadhaar and how is it used?,aadhaar|12 digit|uidai|biometric|identity|unique,"Aadhaar is a 12-digit unique identity number issued by UIDAI based on biometric data (fingerprints, iris scan). It is used for identity verification, direct benefit transfers, banking, and government service delivery.",en
278,Current Affairs,medium,What is the National Logistics Policy 2022?,logistics|policy|2022|cost|gdp|efficiency|pm,"The National Logistics Policy 2022 aims to reduce India's logistics cost from 13-14% to 8% of GDP through digital integration, multimodal transport, process simplification, and infrastructure development. It includes the ULIP digital platform.",en
279,Science,easy,What is the chemical symbol for gold?,gold|au|aurum|element|precious|symbol,"The chemical symbol for gold is Au, derived from the Latin word 'Aurum'. Gold has atomic number 79 and is a precious metal known for its resistance to corrosion.",en
280,Science,medium,Explain the concept of centripetal force with an example.,centripetal|circular|center|force|motion|satellite,"Centripetal force is the force that keeps an object moving in a circular path, directed toward the center of rotation. Example: gravity acts as centripetal force keeping satellites in orbit. Formula: F = mv²/r.",en
281,Geography,easy,Which is the smallest state of India by area?,goa|smallest|state|area|3702,"Goa is the smallest state of India by area, covering approximately 3,702 square kilometres, located on the western coast.",en
282,Geography,medium,What is the importance of the Sundarbans?,sundarbans|mangrove|bengal|tiger|delta|unesco|cyclone,"The Sundarbans is the world's largest mangrove forest at the Ganges-Brahmaputra delta. It is a UNESCO World Heritage site, home to Bengal tigers, acts as a natural barrier against cyclones, and is vital for coastal ecology.",en
283,Mathematics,easy,What is 25% of 400?,percentage|25|400|100|calculate,25% of 400 = (25/100) × 400 = 100.,en
284,Mathematics,medium,"Find the mean of: 12, 15, 18, 21, 24.",mean|average|sum|5|18|statistics,Mean = (12+15+18+21+24) ÷ 5 = 90 ÷ 5 = 18.,en
285,Reasoning,easy,"Which is the odd one out: Apple, Mango, Potato, Banana?",odd one out|potato|vegetable|fruit|category,"Potato is the odd one out. Apple, Mango, and Banana are fruits, while Potato is a vegetable (tuber).",en
286,Reasoning,medium,"If 5 workers can build a wall in 10 days, how many days will 10 workers take?",work|inverse proportion|days|workers|5,Workers and days are inversely proportional. 5 × 10 = 10 × x → x = 50/10 = 5 days.,en
287,English,easy,"Give the past tense of: go, run, write.",past tense|went|ran|wrote|irregular|verb,"Go → Went, Run → Ran, Write → Wrote. These are irregular verbs that do not follow the standard -ed pattern.",en
288,English,medium,Use 'despite' in a sentence related to military service.,despite|contrast|sentence|preposition|military,"Example: Despite facing extreme weather conditions, the soldiers completed their mission ahead of schedule, demonstrating unwavering determination.",en
289,DRDO,easy,What is the NAG missile?,nag|anti tank|missile|fire forget|third generation,NAG (meaning Cobra) is a third-generation fire-and-forget anti-tank guided missile developed by DRDO. It uses infrared imaging seeker and has a range of 4-7 km.,en
290,DRDO,medium,What is DRDO's contribution to soldier protection systems?,soldier|protection|bulletproof|jacket|helmet|drdo|lightweight,"DRDO has developed lightweight bulletproof jackets (under 10 kg), ballistic helmets, mine-protected vehicles (MPV), and NBC protection suits. These indigenous solutions reduce import dependency and are tailored for Indian operational conditions.",en
